Models	Hd_A	Hd_F	CN_1	CN_2	Ca4227	G4300	Hg_A	Hg_F	Fe4383	Ca4455	Fe4531	C4668	H_beta	Fe5015	Mg_1	Mg_2	Mg_b	Fe5270	Fe5335	Fe5406	Fe5709	Fe5782	Na_D	TiO_1	TiO_2	
Mbi1.30Zm1.49T09.5000_iTp0.00_Ep0.00.fits.txt	3.84334297377	3.3170920479	-0.0925056039977	-0.0482216813848	0.261587334694	2.60866071999	1.72189010664	2.29265824547	0.76854781522	0.355229974775	1.33888808578	0.709884151152	2.94025366717	1.8187181897	0.0155809188048	0.0464113735444	0.737927602642	1.1214881437	1.16941702942	0.641645211479	0.272786771076	0.221866257176	1.21447701063	0.0105618429465	0.016925288527	
Mbi1.30Zm1.49T10.0000_iTp0.00_Ep0.00.fits.txt	4.02342660734	3.45421372523	-0.0959560281023	-0.0506247657146	0.260015550082	2.51534016001	1.92532431122	2.42340539438	0.7436134879	0.346930213068	1.32466833743	0.708158109417	3.01324511921	1.79239247839	0.0159589051567	0.0463439204914	0.735795332423	1.12048043175	1.16721227422	0.639792813383	0.274058600972	0.22179797703	1.22083783947	0.0105284635225	0.0167654640753	
Mbi1.30Zm1.49T10.5000_iTp0.00_Ep0.00.fits.txt	4.14041115614	3.53418074597	-0.0982077584221	-0.0523854031071	0.264150406859	2.45633359024	2.05172092706	2.5081539624	0.732302653578	0.343565405811	1.32293426892	0.702429571092	3.05683846518	1.79634501046	0.0161821120323	0.0465015415548	0.74567829954	1.11932951847	1.17353316736	0.644211858152	0.280310662626	0.226988746852	1.23311997638	0.0108793302526	0.0176802715053	
Mbi1.30Zm1.49T11.0000_iTp0.00_Ep0.00.fits.txt	4.36706395852	3.67983577732	-0.102941487426	-0.0561814712802	0.261298371292	2.39406819786	2.27038044216	2.63304299302	0.699021438739	0.338433255879	1.31418420336	0.723871554321	3.12421801003	1.78608158449	0.0167553581659	0.0467039308285	0.756537959471	1.11780826956	1.17382331562	0.645714763854	0.279897380674	0.226486770699	1.24813662287	0.0110840273631	0.0180092988233	
Mbi1.30Zm1.49T11.5000_iTp0.00_Ep0.00.fits.txt	4.39660251014	3.74387978351	-0.10341184053	-0.0558908359539	0.262464834305	2.3659525288	2.31486319283	2.67564132187	0.68800424611	0.334676651764	1.31564125045	0.727203186287	3.15931636639	1.77949175631	0.0176022088243	0.0477405470596	0.754413435316	1.12754282642	1.17526463291	0.651584672417	0.284111404496	0.231928272878	1.25770664482	0.011310604319	0.018448904003	
Mbi1.30Zm1.49T12.0000_iTp0.00_Ep0.00.fits.txt	4.307523506	3.69613313396	-0.101459165219	-0.0541456934455	0.248676511609	2.4325290809	2.22962934869	2.64941321174	0.756424341092	0.335371954172	1.3625468853	0.735509247133	3.15070694647	1.83014188448	0.0183908276685	0.0489069605213	0.741369568822	1.15184520076	1.19670800855	0.671988846487	0.284832158016	0.237915674655	1.27587680658	0.0114399365931	0.0184798834925	
Mbi1.30Zm1.49T12.5000_iTp0.00_Ep0.00.fits.txt	4.04165366814	3.55583968272	-0.0962534586119	-0.0494499343702	0.269585963001	2.55307792004	1.92323957457	2.48627127399	0.835853332862	0.348994265035	1.38558067755	0.7556529472	3.06312519509	1.841928921	0.0188616187181	0.0494437649382	0.75074999944	1.16549253488	1.21247413851	0.676030708637	0.288294871554	0.236920563032	1.2984354122	0.0116832372404	0.0191197445773	
Mbi1.30Zm1.49T13.0000_iTp0.00_Ep0.00.fits.txt	3.71848064753	3.35948825289	-0.0902085418278	-0.0442073726608	0.269710373475	2.67284415633	1.61228410693	2.29786587184	0.886497763387	0.360576132904	1.39916685087	0.783348663811	2.9669097953	1.86373639925	0.0201883199086	0.0503933969411	0.738241548329	1.17896759819	1.22010873296	0.691666389624	0.288599276163	0.236501633485	1.31424685878	0.0118008065657	0.0193467989132	
Mbi1.30Zm1.49T13.5000_iTp0.00_Ep0.00.fits.txt	3.60034655233	3.29811569383	-0.0881781683894	-0.0424439854243	0.272850814544	2.73381573978	1.47591293002	2.21710150589	0.916979133837	0.368071803433	1.40057906486	0.755962047529	2.91643275368	1.88503594949	0.0199104860902	0.0508790659905	0.757113198083	1.18806654146	1.2339628717	0.700720275409	0.29496763389	0.2405755159	1.33952229652	0.0122339362384	0.0206560731366	
Mbi1.30Zm1.49T14.0000_iTp0.00_Ep0.00.fits.txt	3.41204887803	3.17787775488	-0.084786017302	-0.0398248785363	0.268665539742	2.83565378743	1.25607357202	2.08537119081	0.968884479339	0.376362292863	1.40486541938	0.795799835996	2.83901645896	1.88263360628	0.0209143343781	0.0509019564279	0.741791926999	1.1930519773	1.23703525511	0.701723112648	0.293703211954	0.236051306943	1.35005861445	0.0122465340028	0.0202256967517	
Mbi1.30Zp0.06T00.0300_iTp0.00_Ep0.00.fits.txt	5.46128150919	4.85274032554	-0.0980159933637	-0.0280630517806	0.263931429801	-0.0981580958479	5.11438500146	4.93273772626	0.786074096339	0.689656524073	1.08423418516	0.821856929531	5.02121039222	2.39540149237	0.018802270904	0.0522982165014	0.62223300661	0.973338787699	1.13550706706	0.671078783985	0.304129788765	0.442934989729	1.30444749397	0.0352302790802	0.0699682099154	
Mbi1.30Zp0.06T00.0400_iTp0.00_Ep0.00.fits.txt	5.64651606261	4.89322993608	-0.102778309281	-0.0343697200078	0.261539443789	0.0106038635675	5.11914031785	4.89924928887	0.755194236653	0.658194391171	1.20295694999	0.905890500528	4.94050789136	2.57932872354	0.0218410949331	0.056932999056	0.644319137918	1.0904085607	1.27260429202	0.746807802459	0.410666877084	0.516671624349	1.45695352054	0.0304583083541	0.0615209149165	
Mbi1.30Zp0.06T00.0500_iTp0.00_Ep0.00.fits.txt	6.1411120159	5.26672159176	-0.112280424991	-0.0418172364413	0.25660267735	-0.124234240028	5.56825156708	5.133504437	0.665399609048	0.630792661292	1.1728956067	0.985376080209	5.12069770097	2.47580396603	0.0237189096345	0.0586732587601	0.670640396003	1.14235102577	1.33558724187	0.780591557663	0.461399148217	0.537778454734	1.48463199806	0.0256530120745	0.050523512836	
