Models	Hd_A	Hd_F	CN_1	CN_2	Ca4227	G4300	Hg_A	Hg_F	Fe4383	Ca4455	Fe4531	C4668	H_beta	Fe5015	Mg_1	Mg_2	Mg_b	Fe5270	Fe5335	Fe5406	Fe5709	Fe5782	Na_D	TiO_1	TiO_2	
Mbi1.30Zm0.25T00.0300_iTp0.40_Ep0.40.fits.txt	5.36060983986	4.77474284681	-0.0968336277064	-0.0282617870342	0.267189605017	-0.203772213456	4.9483869198	4.72132749215	0.641992039591	0.691212807192	0.8353387992	0.738837130827	4.60674691614	2.0251316231	0.0250385597664	0.0583410185368	0.734111242458	0.908992082334	1.05065799852	0.655197962972	0.40760004511	0.437521079856	1.15277935783	0.0272132094236	0.0523320362522	
Mbi1.30Zm0.25T00.0400_iTp0.40_Ep0.40.fits.txt	5.86569800989	5.08816719633	-0.109204461057	-0.0395761002256	0.266669697057	-0.242762775472	5.41735971346	4.98864840294	0.473384126856	0.609784345121	0.908957992418	0.672874385951	4.82875039747	1.98731454034	0.0252865872235	0.0574445733342	0.716789388348	0.908965114444	1.05254561227	0.635478049562	0.4212793014	0.423604630242	1.10146283168	0.0218108757367	0.0404846069239	
Mbi1.30Zm0.25T00.0500_iTp0.40_Ep0.40.fits.txt	6.12893255703	5.25157476681	-0.115899437037	-0.0457043921831	0.270030092396	-0.257358366357	5.65064735599	5.12221615655	0.425043223547	0.579088387292	0.947513313471	0.623766348971	4.93937246455	1.99826112909	0.0235347490565	0.0550777525097	0.700064246856	0.911737292977	1.05904621846	0.622260596989	0.423702650418	0.414991518444	1.10278659002	0.018412034467	0.0334415083698	
Mbi1.30Zm0.25T00.0600_iTp0.40_Ep0.40.fits.txt	6.41891543386	5.42427876505	-0.12316970363	-0.0527035897372	0.273557284411	-0.279052752878	5.89258414629	5.23218771348	0.309208211276	0.534003905366	0.975968805316	0.635467580542	5.02273875408	1.98714353243	0.0233016615528	0.055483625382	0.729794016595	0.916013497593	1.06167929159	0.612440108893	0.426559635758	0.406139917951	1.09404420329	0.0174597446499	0.0309070060827	
Mbi1.30Zm0.25T00.0700_iTp0.40_Ep0.40.fits.txt	6.61138075634	5.55496283652	-0.127997707166	-0.0575764792522	0.283887381437	-0.27699177531	6.04654447583	5.33359208343	0.274240444548	0.508650987006	1.0068607337	0.707460579044	5.1069651103	2.02000414846	0.0229669142203	0.0569440771937	0.776336612877	0.939507952387	1.08711190724	0.631269937891	0.4284972038	0.408833465981	1.09606000581	0.0192687880294	0.0341508692414	
Mbi1.30Zm0.25T00.0800_iTp0.40_Ep0.40.fits.txt	6.70562682482	5.61827978811	-0.13001896143	-0.0596498372061	0.287076066682	-0.260351706296	6.12160901832	5.39925521107	0.287299192572	0.495035465538	1.01502460765	0.673187404501	5.17483999588	2.00387606328	0.0217854199703	0.055908140685	0.783917871709	0.935471676617	1.07964403055	0.62105773114	0.418047318478	0.39550783222	1.08545644315	0.0193701806791	0.0337582319593	
Mbi1.30Zm0.25T00.0900_iTp0.40_Ep0.40.fits.txt	6.90452699678	5.74521730429	-0.134950537557	-0.0642893326798	0.281008471324	-0.301406525618	6.30887601825	5.49937971748	0.219906626335	0.470689284575	1.00072318411	0.67022442462	5.26628752299	1.96604362948	0.0205319538718	0.0540304925179	0.788385162437	0.906850449686	1.0467393431	0.59293983547	0.403014133646	0.380628057174	1.03813991558	0.0193362600868	0.0326662520703	
Mbi1.30Zm0.25T00.1000_iTp0.40_Ep0.40.fits.txt	7.05274073423	5.81734398116	-0.138464046037	-0.0679142468241	0.279328753697	-0.300788421673	6.42054117337	5.54371006049	0.156232558069	0.453606185968	1.03380347048	0.644489399797	5.31897495167	1.97305225296	0.0190706861764	0.0525545299901	0.788012118876	0.907698143258	1.0298621267	0.566572668362	0.38720681964	0.36358995384	0.991171327103	0.0188312841537	0.0301136270498	
Mbi1.30Zm0.25T00.1500_iTp0.40_Ep0.40.fits.txt	7.84990040295	6.34827643727	-0.156928373293	-0.0846973326561	0.264521079824	-0.410913618466	7.14191582689	6.04855605157	0.0355451949256	0.378474913152	1.05852502307	0.485968848326	5.76368102618	1.8451363607	0.0175477431902	0.0495962453541	0.830845699141	0.858221798618	0.993418660316	0.521131763139	0.358325640687	0.325758260059	0.967920687918	0.016448725427	0.0246177210721	
Mbi1.30Zm0.25T00.2000_iTp0.40_Ep0.40.fits.txt	8.68808668215	6.8998619141	-0.176590916185	-0.101917171043	0.255509263425	-0.622197539175	7.96119065735	6.54089425912	-0.172992096096	0.292577151516	1.00304066679	0.424407817977	6.20046099684	1.69152988098	0.0176882368351	0.0507915852166	0.891945947697	0.823155891139	0.971408226937	0.514001661456	0.362413050366	0.320291629547	0.963132368464	0.0167161654499	0.0243567907325	
Mbi1.30Zm0.25T00.2500_iTp0.40_Ep0.40.fits.txt	9.30624339232	7.27613056754	-0.190677327148	-0.114319924148	0.26891525276	-0.831875240317	8.63794881816	6.89606250737	-0.37440569415	0.247466335191	1.00692189651	0.440650679725	6.51247190139	1.68437174031	0.0183005319901	0.0536176094363	0.936677463744	0.850279735574	0.987559067757	0.544383782064	0.36483631739	0.330759458236	1.01841679214	0.0166417486992	0.0257911674408	
